16,"[AliQ] S01E14 - Lars and the Cool Kids.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E14 - Lars and the Cool Kids.mp4"
17,"[AliQ] S01E15 - Onion Trade.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E15 - Onion Trade.mp4"
18,"[AliQ] S01E16 - Steven the Sword Fighter.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E16 - Steven the Sword Fighter.mp4"
19,"[AliQ] S01E17 - Lion 2 The Movie.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E17 - Lion 2 The Movie.mp4"
20,"[AliQ] S01E18 - Beach Party.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E18 - Beach Party.mp4"
21,"[AliQ] S01E19 - Roses Room.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E19 - Roses Room.mp4"
22,"[AliQ] S01E20 - Coach Steven.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E20 - Coach Steven.mp4"
23,"[AliQ] S01E21 - Joking Victim.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E21 - Joking Victim.mp4"
24,"[AliQ] S01E22 - Steven and the Stevens.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E22 - Steven and the Stevens.mp4"
25,"[AliQ] S01E23 - Monster Buddies.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E23 - Monster Buddies.mp4"
26,"[AliQ] S01E24 - An Indirect Kiss.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E24 - An Indirect Kiss.mp4"
27,"[AliQ] S01E25 - Mirror Gem.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E25 - Mirror Gem.mp4"
28,"[AliQ] S01E26 - Ocean Gem.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E26 - Ocean Gem.mp4"
